q	E	mux	muy	muz
-0.45	140641.9793226719	-0.8601058374664315	-0.3105748880427095	0.37489991532944084
-0.425	114702.45192834735	-0.8201782844132107	-0.3058889218705299	0.35743582063838597
-0.4	93144.51544842124	-0.7795649678140723	-0.2998583711327813	0.33973610592988635
-0.375	75232.86413052678	-0.738977577042096	-0.2929519341165921	0.32202597005556666
-0.35	60364.82072305679	-0.6977328902991251	-0.284724042439459	0.3039978615363459
-0.325	48044.438472390175	-0.6561280378984204	-0.2754011658268871	0.28579005145042236
-0.3	37862.594776660204	-0.6135583380476403	-0.2646538937690508	0.2672391054167639
-0.275	29480.00385171175	-0.5701628243493112	-0.25249951015072486	0.2482583498367203
-0.25	22613.87267547846	-0.5259158251510471	-0.238863287587736	0.2288022874253697
-0.225	17028.331895291805	-0.48055249033615177	-0.22355688257099401	0.2088315210924166
-0.2	12525.74463391304	-0.4340850202938781	-0.2066875568560131	0.1884749174493437
-0.175	8940.40756830573	-0.3864127618128904	-0.18824743102473418	0.167656224063321
-0.15	6131.505795121193	-0.33704795349785277	-0.1678160999974879	0.1461487170340673
-0.125	3979.689026892185	-0.2860671019563714	-0.1454698162071042	0.1239501087885977
-0.1	2383.2966288924217	-0.2332310287241361	-0.121020236144493	0.1009002692179692
-0.075	1255.723923921585	-0.1785943813780084	-0.0944762559268178	0.0770617253171024
-0.05	523.2932887971401	-0.1216566897838474	-0.06558319242842639	0.052409567957939496
-0.025	122.75214380025864	-0.0621681001367468	-0.0341061881562024	0.0267490992619879
0.0	0.0	5.083495522e-07	-8.3877676113e-06	-2.0842331640199997e-05
0.025	108.35461002588272	0.0650362083102592	0.0369005856446458	-0.0280148896469659
0.05	407.91549158096313	0.1330549034432758	0.0767356190793661	-0.057272693949060795
0.075	864.4885019361973	0.20418673123396516	0.11952645098535329	-0.0877718878576281
0.1	1449.3005211055279	0.2788142247203579	0.1654482077833403	-0.11963600031385241
0.125	2136.7827581465244	0.3571859668334797	0.2147957322136031	-0.1531669909517405
0.15	2904.4829615056515	0.43941811544600823	0.2676119798133026	-0.1883213958845793
0.175	3733.8994223475456	0.5252328575276664	0.32367022668215756	-0.22491214247715918
0.2	4609.229969531298	0.6150879618502101	0.38325641944328054	-0.2632045891957286
0.225	5515.791752308607	0.7094007833959955	0.44663972918456146	-0.30346917800205786
0.25	6441.228350639343	0.8077323623266982	0.5134831201528917	-0.3454883352878055
0.275	7375.619512706995	0.909983570479639	0.5837593956472285	-0.3892587567808821
0.3	8310.186254411936	1.0166259020644832	0.6576957879174054	-0.4349980160896293
0.325	9236.939700394869	1.1275942883385495	0.7351809684114903	-0.48266849534718426
0.35	10149.51508718729	1.242579906948876	0.8159658458489055	-0.5321362444465424
0.375	11042.710866808891	1.3615880955657618	0.9000097522654749	-0.5834902245593386
